cd_cid ;cid - descricao;cd_subgrupo;subgrupo_descricao;cid_grupo;cid_capitulo
A00.0; Cólera Devida a Vibrio Cholerae 01, Biótipo Cholerae;A00; Cólera;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A00.1; Cólera Devida a Vibrio Cholerae 01, Biótipo El Tor;A00; Cólera;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A00.9; Cólera Não Especificada;A00; Cólera;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A01.0; Febre Tifóide;A01; Febres Tifóide e Paratifóide;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A01.1; Febre Paratifóide A;A01; Febres Tifóide e Paratifóide;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A01.2; Febre Paratifóide B;A01; Febres Tifóide e Paratifóide;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A01.3; Febre Paratifóide C;A01; Febres Tifóide e Paratifóide;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A01.4; Febre Paratifóide Não Especificada;A01; Febres Tifóide e Paratifóide;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A02.0; Enterite Por Salmonela;A02; Outras Infecções Por Salmonella;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A02.1; Septicemia Por Salmonela;A02; Outras Infecções Por Salmonella;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A02.2; Infecções Localizadas Por Salmonela;A02; Outras Infecções Por Salmonella;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A02.8; Outras Infecções Especificadas Por Salmonela;A02; Outras Infecções Por Salmonella;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A02.9; Infecção Não Especificada Por Salmonela;A02; Outras Infecções Por Salmonella;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A03.0; Shiguelose Devida a Shigella Dysenteriae;A03; Shiguelose;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A03.1; Shiguelose Devida a Shigella Flexneri;A03; Shiguelose;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A03.2; Shiguelose Devida a Shigella Boydii;A03; Shiguelose;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A03.3; Shiguelose Devida a Shigella Sonnei;A03; Shiguelose;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A03.8; Outras Shigueloses;A03; Shiguelose;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A03.9; Shiguelose Não Especificada;A03; Shiguelose;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.0; Infecção Por Escherichia Coli Enteropatogênica;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.1; Infecção Por Escherichia Coli Enterotoxigênica;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.2; Infecção Por Escherichia Coli Enteroinvasiva;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.3; Infecção Por Escherichia Coli Enterohemorrágica;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.4; Outras Infecções Intestinais Por Escherichia Coli;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.5; Enterite Por Campylobacter;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.6; Enterite Devida a Yersinia Enterocolítica;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.7; Enterocolite Devida a Clostridium Difficile;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.8; Outras Infecções Bacterianas Intestinais Especificadas;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A04.9; Infecção Intestinal Bacteriana Não Especificada;A04; Outras Infecções Intestinais Bacterianas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A05.0; Intoxicação Alimentar Estafilocócica;A05; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A05.1; Botulismo;A05; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A05.2; Intoxicação Alimentar Devida a Clostridium Perfringens (Clostridium Welchii);A05; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A05.3; Intoxicação Alimentar Devida a Vibrio Parahemolyticus;A05; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A05.4; Intoxicação Alimentar Devida a Bacillus Cereus;A05; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A05.8; Outras Intoxicações Alimentares Bacterianas Especificadas;A05; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A05.9; Intoxicação Alimentar Bacteriana Não Especificada;A05; Outras Intoxicações Alimentares Bacterianas, Não Classificadas em Outra Parte;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.0; Disenteria Amebiana Aguda;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.1; Amebíase Intestinal Crônica;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.2; Colite Amebiana Não;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.3; Ameboma Intestinal;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.4; Abscesso Amebiano do Fígado;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
