Seção;Divisão;Grupo;Classe;Denominação
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Abate e fabricação de produtos de carne;10112;Abate de reses, exceto suínos
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS;Abate e fabricação de produtos de carne;10121;Abate de suínos, aves e outros pequenos animais
INDÚSTRIAS DE TRANSFORMAÇÃO;FABRICAÇÃO DE PRODUTOS TÊXTEIS;Acabamentos em fios, tecidos e artefatos têxteis;13405;Acabamentos em fios, tecidos e artefatos têxteis
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;Atividades auxiliares dos serviços financeiros;66118;Administração de bolsas e mercados de balcão organizados
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE;Atividades auxiliares dos serviços financeiros;66134;Administração de cartões de crédito
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Atividades de serviços financeiros não especificadas anteriormente;64930;Administração de consórcios para aquisição de bens e direitos
ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL;Administração do estado e da política econômica e social;84116;Administração pública em geral
ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS;PUBLICIDADE E PESQUISA DE MERCADO;Publicidade;73122;Agenciamento de espaços para publicidade, exceto em veículos de comunicação
ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS;ATIVIDADES DE SERVIÇOS FINANCEIROS;Intermediação não-monetária - outros instrumentos de captação;64344;Agências de fomento
INFORMAÇÃO E COMUNICAÇÃO;ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO;Outras atividades de prestação de serviços de informação;63917;Agências de notícias
